"age_group","month_year","average_depression_level"
"18 - 29 years","2020-04",32.7
"18 - 29 years","2020-05",36.6
"18 - 29 years","2020-06",36.78
"18 - 29 years","2020-07",38.83
"18 - 29 years","2020-08",35.4
"18 - 29 years","2020-09",36.63
"18 - 29 years","2020-10",41.2
"18 - 29 years","2020-11",42.75
"18 - 29 years","2020-12",43.6
"18 - 29 years","2021-01",42.25
"18 - 29 years","2021-02",43.55
"18 - 29 years","2021-03",39.8
"18 - 29 years","2021-04",39.3
"18 - 29 years","2021-05",34.0
"18 - 29 years","2021-06",36.65
"18 - 29 years","2021-07",38.6
"18 - 29 years","2021-08",34.95
"18 - 29 years","2021-09",36.83
"18 - 29 years","2021-10",NULL
"18 - 29 years","2021-12",34.0
"18 - 29 years","2022-01",35.5
"18 - 29 years","2022-02",NULL
"18 - 29 years","2022-03",35.0
"18 - 29 years","2022-04",34.5
"18 - 29 years","2022-05",NULL
"18 - 29 years","2022-06",36.75
"18 - 29 years","2022-07",32.4
"18 - 29 years","2022-08",NULL
"18 - 29 years","2022-09",34.4
"18 - 29 years","2022-10",39.0
"18 - 29 years","2022-11",35.3
"18 - 29 years","2022-12",35.5
"18 - 29 years","2023-01",34.0
"18 - 29 years","2023-02",33.8
"18 - 29 years","2023-03",32.45
"18 - 29 years","2023-04",33.4
"30 - 39 years","2020-04",25.7
"30 - 39 years","2020-05",27.43
"30 - 39 years","2020-06",28.7
"30 - 39 years","2020-07",32.27
"30 - 39 years","2020-08",27.9
"30 - 39 years","2020-09",28.03
"30 - 39 years","2020-10",31.9
"30 - 39 years","2020-11",32.8
"30 - 39 years","2020-12",34.9
"30 - 39 years","2021-01",31.75
"30 - 39 years","2021-02",31.45
"30 - 39 years","2021-03",29.85
"30 - 39 years","2021-04",26.4
"30 - 39 years","2021-05",25.5
"30 - 39 years","2021-06",24.9
"30 - 39 years","2021-07",26.7
"30 - 39 years","2021-08",27.4
"30 - 39 years","2021-09",26.33
"30 - 39 years","2021-10",NULL
"30 - 39 years","2021-12",26.9
"30 - 39 years","2022-01",29.3
"30 - 39 years","2022-02",NULL
"30 - 39 years","2022-03",27.2
"30 - 39 years","2022-04",29.2
"30 - 39 years","2022-05",NULL
"30 - 39 years","2022-06",27.25
"30 - 39 years","2022-07",27.0
"30 - 39 years","2022-08",NULL
"30 - 39 years","2022-09",27.7
"30 - 39 years","2022-10",27.8
"30 - 39 years","2022-11",27.6
"30 - 39 years","2022-12",26.9
"30 - 39 years","2023-01",25.1
"30 - 39 years","2023-02",26.4
"30 - 39 years","2023-03",25.2
"30 - 39 years","2023-04",23.6
"40 - 49 years","2020-04",24.8
"40 - 49 years","2020-05",25.1
"40 - 49 years","2020-06",26.7
"40 - 49 years","2020-07",29.03
"40 - 49 years","2020-08",23.8
"40 - 49 years","2020-09",25.77
"40 - 49 years","2020-10",26.85
"40 - 49 years","2020-11",30.2
"40 - 49 years","2020-12",31.5
"40 - 49 years","2021-01",28.1
"40 - 49 years","2021-02",27.6
"40 - 49 years","2021-03",26.05
"40 - 49 years","2021-04",22.45
"40 - 49 years","2021-05",22.65
"40 - 49 years","2021-06",22.5
"40 - 49 years","2021-07",22.5
"40 - 49 years","2021-08",22.85
"40 - 49 years","2021-09",23.67
"40 - 49 years","2021-10",NULL
"40 - 49 years","2021-12",24.0
"40 - 49 years","2022-01",22.3
"40 - 49 years","2022-02",NULL
"40 - 49 years","2022-03",22.85
"40 - 49 years","2022-04",23.4
"40 - 49 years","2022-05",NULL
"40 - 49 years","2022-06",23.95
"40 - 49 years","2022-07",22.6
"40 - 49 years","2022-08",NULL
"40 - 49 years","2022-09",26.3
"40 - 49 years","2022-10",25.5
"40 - 49 years","2022-11",25.6
"40 - 49 years","2022-12",24.5
"40 - 49 years","2023-01",22.5
"40 - 49 years","2023-02",21.5
"40 - 49 years","2023-03",21.9
"40 - 49 years","2023-04",24.1
"50 - 59 years","2020-04",23.2
"50 - 59 years","2020-05",24.6
"50 - 59 years","2020-06",25.93
"50 - 59 years","2020-07",28.6
"50 - 59 years","2020-08",23.8
"50 - 59 years","2020-09",23.1
"50 - 59 years","2020-10",24.6
"50 - 59 years","2020-11",27.35
"50 - 59 years","2020-12",28.9
"50 - 59 years","2021-01",27.55
"50 - 59 years","2021-02",26.55
"50 - 59 years","2021-03",22.9
"50 - 59 years","2021-04",20.25
"50 - 59 years","2021-05",19.5
"50 - 59 years","2021-06",19.2
"50 - 59 years","2021-07",18.6
"50 - 59 years","2021-08",20.2
"50 - 59 years","2021-09",20.67
"50 - 59 years","2021-10",NULL
"50 - 59 years","2021-12",20.95
"50 - 59 years","2022-01",20.2
"50 - 59 years","2022-02",NULL
"50 - 59 years","2022-03",19.85
"50 - 59 years","2022-04",21.6
"50 - 59 years","2022-05",NULL
"50 - 59 years","2022-06",22.35
"50 - 59 years","2022-07",22.6
"50 - 59 years","2022-08",NULL
"50 - 59 years","2022-09",25.5
"50 - 59 years","2022-10",24.4
"50 - 59 years","2022-11",22.6
"50 - 59 years","2022-12",22.7
"50 - 59 years","2023-01",22.3
"50 - 59 years","2023-02",20.1
"50 - 59 years","2023-03",20.55
"50 - 59 years","2023-04",21.1
"60 - 69 years","2020-04",18.4
"60 - 69 years","2020-05",18.35
"60 - 69 years","2020-06",19.8
"60 - 69 years","2020-07",22.37
"60 - 69 years","2020-08",19.7
"60 - 69 years","2020-09",19.93
"60 - 69 years","2020-10",20.45
"60 - 69 years","2020-11",21.6
"60 - 69 years","2020-12",22.5
"60 - 69 years","2021-01",22.35
"60 - 69 years","2021-02",22.05
"60 - 69 years","2021-03",18.85
"60 - 69 years","2021-04",16.25
"60 - 69 years","2021-05",15.2
"60 - 69 years","2021-06",15.1
"60 - 69 years","2021-07",15.3
"60 - 69 years","2021-08",15.3
"60 - 69 years","2021-09",15.27
"60 - 69 years","2021-10",NULL
"60 - 69 years","2021-12",15.35
"60 - 69 years","2022-01",15.3
"60 - 69 years","2022-02",NULL
"60 - 69 years","2022-03",15.15
"60 - 69 years","2022-04",13.5
"60 - 69 years","2022-05",NULL
"60 - 69 years","2022-06",16.0
"60 - 69 years","2022-07",15.1
"60 - 69 years","2022-08",NULL
"60 - 69 years","2022-09",17.7
"60 - 69 years","2022-10",19.0
"60 - 69 years","2022-11",17.6
"60 - 69 years","2022-12",17.1
"60 - 69 years","2023-01",16.8
"60 - 69 years","2023-02",16.0
"60 - 69 years","2023-03",15.95
"60 - 69 years","2023-04",16.2
"70 - 79 years","2020-04",13.6
"70 - 79 years","2020-05",13.33
"70 - 79 years","2020-06",14.8
"70 - 79 years","2020-07",16.2
"70 - 79 years","2020-08",14.8
"70 - 79 years","2020-09",15.13
"70 - 79 years","2020-10",15.9
"70 - 79 years","2020-11",17.2
"70 - 79 years","2020-12",18.4
"70 - 79 years","2021-01",18.2
"70 - 79 years","2021-02",16.55
"70 - 79 years","2021-03",14.6
"70 - 79 years","2021-04",11.8
"70 - 79 years","2021-05",11.75
"70 - 79 years","2021-06",10.5
"70 - 79 years","2021-07",11.1
"70 - 79 years","2021-08",10.6
"70 - 79 years","2021-09",10.43
"70 - 79 years","2021-10",NULL
"70 - 79 years","2021-12",10.3
"70 - 79 years","2022-01",10.1
"70 - 79 years","2022-02",NULL
"70 - 79 years","2022-03",10.8
"70 - 79 years","2022-04",10.2
"70 - 79 years","2022-05",NULL
"70 - 79 years","2022-06",11.05
"70 - 79 years","2022-07",11.0
"70 - 79 years","2022-08",NULL
"70 - 79 years","2022-09",12.4
"70 - 79 years","2022-10",14.0
"70 - 79 years","2022-11",11.4
"70 - 79 years","2022-12",14.0
"70 - 79 years","2023-01",11.5
"70 - 79 years","2023-02",11.8
"70 - 79 years","2023-03",12.55
"70 - 79 years","2023-04",12.3
"80 years and above","2020-04",14.4
"80 years and above","2020-05",13.88
"80 years and above","2020-06",12.05
"80 years and above","2020-07",14.43
"80 years and above","2020-08",13.8
"80 years and above","2020-09",12.2
"80 years and above","2020-10",12.95
"80 years and above","2020-11",16.3
"80 years and above","2020-12",21.7
"80 years and above","2021-01",16.85
"80 years and above","2021-02",15.45
"80 years and above","2021-03",17.6
"80 years and above","2021-04",13.05
"80 years and above","2021-05",9.2
"80 years and above","2021-06",8.9
"80 years and above","2021-07",13.2
"80 years and above","2021-08",10.6
"80 years and above","2021-09",12.4
"80 years and above","2021-10",NULL
"80 years and above","2021-12",11.1
"80 years and above","2022-01",8.2
"80 years and above","2022-02",NULL
"80 years and above","2022-03",9.9
"80 years and above","2022-04",9.5
"80 years and above","2022-05",NULL
"80 years and above","2022-06",11.5
"80 years and above","2022-07",7.4
"80 years and above","2022-08",NULL
"80 years and above","2022-09",12.1
"80 years and above","2022-10",13.3
"80 years and above","2022-11",16.5
"80 years and above","2022-12",11.0
"80 years and above","2023-01",10.7
"80 years and above","2023-02",11.5
"80 years and above","2023-03",11.2
"80 years and above","2023-04",10.8
